Designator,Mid X,Mid Y,Layer,Rotation
1, 0.95,15.24,Top,90.0
2, 6.99, 5.71,Top,0.0
4, 6.99, 6.99,Top,180.0
5, 6.35,13.97,Top,270.0
6, 7.62,13.97,Top,90.0
7, 4.13,15.24,Top,270.0
8,10.16,13.97,Top,90.0
9,16.51,11.43,Top,90.0
10,15.24,11.43,Top,90.0
11,13.97,11.43,Top,90.0
12,14.61, 8.89,Top,270.0
13,12.70,13.97,Top,270.0
14,11.43,13.97,Top,90.0
15,15.24, 3.81,Top,270.0
16,13.97, 3.81,Top,90.0
17,11.43, 3.81,Top,90.0
C1,39.69,15.24,Top,0.0
C2,26.99, 8.89,Top,90.0
C3,10.16, 3.81,Top,90.0
C4, 2.86,15.24,Top,270.0
C5, 8.89,13.97,Top,90.0
C6,16.51,13.97,Top,270.0
C7,15.24,13.97,Top,270.0
C8,13.97,13.97,Top,270.0
C9,15.88, 8.89,Top,90.0
C10,16.51, 3.81,Top,270.0
C11,12.70, 3.81,Top,270.0
C12, 6.99, 9.53,Top,0.0
C13, 6.99, 8.26,Top,180.0
C15,43.18,13.97,Top,180.0
C16,43.18, 3.81,Top,0.0
D1,34.29,15.24,Top,270.0
D2,36.20,15.24,Top,90.0
IC1,10.79, 8.89,Top,180.0
IC4,38.73, 8.89,Top,0.0
IC5,30.16, 8.89,Top,180.0
Q1,40.01, 1.91,Top,90.0
R1,27.30,13.97,Top,90.0
R2,30.48, 3.81,Top,270.0
R3,28.58,13.97,Top,270.0
R4,29.85,13.97,Top,90.0
R5,27.94, 3.81,Top,90.0
R6,26.67, 3.81,Top,90.0
R7,25.40, 3.81,Top,270.0
R8,18.41,13.97,Top,270.0
R9,29.21, 3.81,Top,270.0
R10,22.86, 3.81,Top,90.0
R11,20.32, 3.81,Top,90.0
R12,21.59, 3.81,Top,90.0
R13,24.13, 3.81,Top,90.0
R14,17.78, 3.81,Top,90.0
R15,19.05, 3.81,Top,90.0
R16,19.69,13.97,Top,270.0
R17,20.96,13.97,Top,90.0
R18,22.23,13.97,Top,90.0
R19,26.04,13.97,Top,270.0
R20,23.50,13.97,Top,90.0
R21,24.77,13.97,Top,90.0
R22, 1.59, 8.89,Top,270.0
R23,33.02, 3.81,Top,90.0
R24,31.75, 3.81,Top,270.0
R25,31.12,13.97,Top,270.0
R26,33.02,13.97,Top,270.0
R27,38.10, 3.81,Top,90.0
R28,35.56, 3.81,Top,90.0
R29,36.83, 3.81,Top,90.0
R30,43.50, 1.91,Top,270.0
R31,34.29, 3.81,Top,270.0
T1, 2.86, 2.22,Top,180.0
U1,21.91, 8.89,Top,90.0
X2,17.78,16.51,Top,180.0
X3,17.78, 1.27,Top,0.0
