Comment,Designator,Footprint,LCSC Part #
MA09N-1J,X2 X3,MA09N-1J,
1M,12,R0402,
1N4148,D1 D2,SOD323J,
1k,2 5 13 R24 R25,R0402,
1k2,R7 R8,R0402,
1k5,R1 R19,R0402,
2k7,R10 R14 R18 R21,R0402,
2n2,C11,C0402-J,
3k,11,R0402,
3n3,C9,C0402-J,
4k7,15,R0402,
6k8,R11 R13 R15,R0402,
8k2,R30,R0402,
10k,10 R4 R31,R0402,
10n,C8,C0402-J,
12k,R17 R20,R0402,
15k,16 R2 R5 R6 R9 R28,R0402,
20k,6 14,R0402,
22n,C7,C0402-J,
33k,9 R23 R26,R0402,
68k,8 R3,R0402,
100k,4 7,R0402,
100n,C2 C6,C0402-J,
100nF,C12 C13 C15 C16,C0402-J,
100u 25V,C1,E2-5,
180k,R12 R16,R0402,
200k,R22,S64W,
220k,1,R0402,
220n,C10,C0402-J,
300k,17,R0402,
470n,C3 C4 C5,C0402-J,
510R,R27 R29,R0402,
LM13700SL,IC4,SO16-NARROW-J,
MC1496DR2G,U1,SOIC127P600X175-14N,
MMBT3906,Q1,SOT23-BEC,
NOISE-2N3904,T1,NOISE-2N3904-J,
TL074JT,IC1 IC5,TSSOP14J,
